Cities: 1, Mean: 0.0, SD: 0.0
Cities: 2, Mean: 97.35228571859085, SD: 39.9017190574521
Cities: 3, Mean: 160.30594793008254, SD: 44.57345334146825
Cities: 4, Mean: 176.3621387426306, SD: 35.55505955776039
Cities: 5, Mean: 245.2450507171511, SD: 66.16826557033838
Cities: 6, Mean: 289.37478687579966, SD: 39.010322619563105
Cities: 7, Mean: 336.96582617480266, SD: 76.62434351835664
Cities: 8, Mean: 375.4703839590268, SD: 55.33282086534741
Cities: 9, Mean: 408.1648041451108, SD: 61.191811511517905
Cities: 10, Mean: 444.9434295102407, SD: 72.05978205400963
Cities: 11, Mean: 500.984982233161, SD: 56.67695859244496
Cities: 12, Mean: 530.7580388403339, SD: 73.59976363480513
Cities: 13, Mean: 601.9173750424268, SD: 51.18794417127417
Cities: 14, Mean: 633.3272340423363, SD: 95.47139732468412
Cities: 15, Mean: 686.1066195933136, SD: 88.723549327779
Cities: 16, Mean: 709.7462968872168, SD: 89.52912657790617

Half and Half
