Run, Cost
0, 1833.926676170933
10, 1769.683058322247
20, 1900.218473421984
30, 1562.072646293792
40, 2059.6680843885597
50, 1911.693427862496
60, 1967.00133252969
70, 1930.1600237478028
80, 1891.3572090532018
90, 2010.4215871158333
100, 1955.6281545645952
110, 1876.3364382902319
120, 1973.3460803490605
130, 1957.5395373257224
140, 2051.6237895176296
150, 1798.097914427265
160, 1747.449970649157
170, 1747.0636734855307
180, 1926.4677571571415
190, 1859.3355582699073
200, 1987.8803348952943
210, 1934.6210275861258
220, 1826.30914623662
230, 1995.378074308433
240, 1823.5208835973963
250, 1926.186102583312
260, 2084.1768255888574
270, 1881.6384878098681
280, 2163.7320037454374
290, 1774.887170252163
300, 1957.6025705661975
310, 1976.0863070530743
320, 2167.972483709632
330, 1996.2480088815155
340, 2064.0221404360395
350, 1700.2579336678282
360, 1899.3436394327678
370, 1946.0817417411808
380, 1936.8484116116722
390, 2102.501884683111
400, 1694.6989419777717
410, 2027.1066653934288
420, 1878.0162912183903
430, 1899.7796612463385
440, 1842.5129565768652
450, 1995.0686026483722
460, 1880.120613116549
470, 1987.7341704811747
480, 1852.8821984965925
490, 1847.5719637444265
500, 1917.4165919477075
510, 1721.812225354173
520, 1841.327345013463
530, 1966.3990545617125
540, 2006.2771160615512
550, 1945.5829830326304
560, 1858.8356721046298
570, 1776.7901262460798
580, 2034.5241011383973
590, 1874.4445513327958
600, 1757.097709303628
610, 1854.9129745073494
620, 1903.4018434468212
630, 1583.2048106992247
640, 1689.035053595338
650, 1733.40782011635
660, 1908.7801064306584
670, 1878.9716704558723
680, 1989.2120471494493
690, 1990.5382715340875
700, 1907.352738334093
710, 1877.16809530816
720, 1732.2108377609693
730, 1835.891657364591
740, 1827.9080955956929
750, 1776.7401370991936
760, 1803.7355670203017
770, 1876.4913340772005
780, 1845.0371116525048
790, 1978.0323794253754
800, 1983.8940314257368
810, 1751.0308777554153
820, 1995.0104340398393
830, 1963.4810926109608
840, 1945.651736427745
850, 1802.6098525948364
860, 1981.1004713895857
870, 1839.7957902070887
880, 1831.0057919390908
890, 1879.0720490300464
900, 1890.9884013348649
910, 1910.5423412571186
920, 2013.4703873175476
930, 2013.9229564585387
940, 1993.3824645592174
950, 1916.0475284987597
960, 1708.8984577511574
970, 1864.3838987232527
980, 1659.2795035531178
990, 1672.981644164562
1000, 1987.6087723324977
1010, 1744.8963970722687
1020, 1834.3473250281902
1030, 2000.3144892182333
1040, 1952.2103766602086
1050, 1759.1653672148684
1060, 1803.3980497686523
1070, 2017.2791320470135
1080, 1960.8845751293738
1090, 1899.3764278840454
1100, 1800.961623546375
1110, 1815.4122499867303
1120, 1712.6598217820062
1130, 2075.280491219929
1140, 1903.0578053016534
1150, 1851.5744909293578
1160, 2036.9807562487583
1170, 1964.8972138175138
1180, 1955.0135613695854
1190, 1857.6964017451921
1200, 1670.9344734736737
1210, 1838.6345657356153
1220, 1990.0387307608073
1230, 1852.2357280676904
1240, 1773.897705201001
1250, 1414.7613659432147
1260, 1435.0906313331182
1270, 1309.3236364965942
1280, 1282.3029333706606
1290, 1348.5570721435702
1300, 1317.0888074342624
1310, 1327.4861214347434
1320, 1281.0502136070638
